鄉鎮市區,交易標的,臨路,土地移轉坪數,都市土地使用分區,總樓層,頂樓註記,屋齡,建物移轉坪數,管理組織,車位總面積,單價,車位總價
鳳山區,房地(土地+建物),Y,3.65,住宅區,15,N,6.1,21.35,Y,0,17.1,0
左營區,房地(土地+建物)+車位,Y,3.56,商業區,29,N,0.6,65.8,Y,7.57,28.2,150
左營區,房地(土地+建物),Y,3.23,住宅區,14,N,0.8,30.59,Y,0,22.6,0
三民區,房地(土地+建物)+車位,N,3.86,商業區,29,N,0.8,65.11,Y,11.39,24.5,0
三民區,房地(土地+建物)+車位,Y,2.73,商業區,15,Y,9.5,31.33,Y,7.79,16.4,0
左營區,房地(土地+建物)+車位,Y,3.56,商業區,29,N,0.6,63.93,Y,7.57,30.6,150
前鎮區,房地(土地+建物),Y,2.93,商業區,15,N,13.3,36.69,Y,0,18.3,0
前鎮區,房地(土地+建物),Y,2.99,住宅區,18,N,2.1,30.56,Y,0,27.6,0
前鎮區,房地(土地+建物)+車位,Y,2.7,商業區,14,N,17.4,35.48,Y,0,12.7,0
左營區,房地(土地+建物)+車位,Y,4.32,住宅區,15,N,0.3,31.05,Y,6.81,20.2,0
楠梓區,房地(土地+建物),Y,2.66,住宅區,20,N,5.1,25.22,Y,0,14.8,0
左營區,房地(土地+建物),Y,5.15,住宅區,14,N,16.9,42.21,Y,0,18.1,0
苓雅區,房地(土地+建物)+車位,Y,3.4,商業區,29,N,1.5,58.29,Y,8.63,21.5,190
左營區,房地(土地+建物)+車位,Y,3.56,商業區,29,N,0.6,65.8,Y,7.57,28.2,150
左營區,房地(土地+建物)+車位,Y,5.81,住宅區,15,N,0.3,44.28,Y,12.42,19.3,0
三民區,房地(土地+建物),N,2.96,住宅區,22,N,7.1,26.4,Y,0,16.6,0
鳳山區,房地(土地+建物)+車位,Y,7.48,住宅區,17,N,1.3,60.71,Y,0,18.8,0
前鎮區,房地(土地+建物)+車位,Y,6.75,住宅區,15,N,6.5,57.43,Y,0,20.3,0
苓雅區,房地(土地+建物),N,8.73,住宅區,13,N,22.1,61.74,N,0,13.4,0
楠梓區,房地(土地+建物),Y,2.03,商業區,23,N,1.2,28.14,Y,0,16.2,0
鼓山區,房地(土地+建物),Y,4.27,商業區,14,N,15.4,39.96,Y,0,17.3,0
楠梓區,房地(土地+建物)+車位,Y,4.89,住宅區,15,N,10.8,43.85,Y,9.94,14.1,0
茄萣區,房地(土地+建物),Y,3.59,住宅區,17,N,23.6,39.9,N,0,4.6,0
三民區,房地(土地+建物),Y,3.57,住宅區,14,Y,22.5,33.37,Y,0,16.5,0
鳥松區,房地(土地+建物)+車位,Y,12.67,住宅區,17,Y,22.9,87.3,Y,0,10.9,0
楠梓區,房地(土地+建物)+車位,N,4.87,住宅區,11,N,26.3,33.37,Y,0,9.7,0
前金區,房地(土地+建物),Y,4.02,住宅區,24,N,23.6,43.43,Y,0,18.9,0
左營區,房地(土地+建物)+車位,Y,2.3,商業區,28,N,1.3,42.67,Y,10.06,23.4,0
楠梓區,房地(土地+建物),Y,3.94,商業區,17,N,26.6,32.72,Y,0,10.5,0
楠梓區,房地(土地+建物),Y,3.06,住宅區,19,N,23.5,39.7,Y,0,9.6,0
苓雅區,房地(土地+建物),N,0.34,商業區,35,N,22.3,66.38,Y,0,11.3,0
苓雅區,房地(土地+建物)+車位,Y,7.68,住宅區,14,N,15,54.33,Y,0,22.5,0
三民區,房地(土地+建物)+車位,N,3.23,住宅區,22,N,7.1,31.61,Y,2.53,16.7,0
左營區,房地(土地+建物)+車位,Y,4.11,商業區,29,N,0.6,78,Y,7.57,39.8,210
楠梓區,房地(土地+建物),Y,8.33,住宅區,13,N,29.6,49.18,Y,0,9.8,0
三民區,房地(土地+建物),Y,1.84,商業區,15,N,5.8,24.38,Y,0,24.2,0
鼓山區,房地(土地+建物)+車位,Y,8.16,住宅區,14,N,14.8,48.66,Y,0,18.9,0
左營區,房地(土地+建物)+車位,Y,4.57,住宅區,15,N,0.3,33.3,Y,6.81,20.4,0
鼓山區,房地(土地+建物),Y,2.33,商業區,14,N,13.4,25.48,Y,0,20.7,0
左營區,房地(土地+建物)+車位,Y,3.2,商業區,25,N,5.6,67.25,Y,6.64,24.3,168
左營區,房地(土地+建物)+車位,Y,4.47,住宅區,15,Y,8.1,41.48,Y,3.93,16.7,80
鳳山區,房地(土地+建物)+車位,Y,7.48,住宅區,17,N,1.3,60.71,Y,0,18.9,0
鳳山區,房地(土地+建物)+車位,Y,5.9,住宅區,15,N,2.1,34.22,Y,0,20.3,0
左營區,房地(土地+建物)+車位,N,5.95,住宅區,16,N,26,42.56,Y,0,15.3,0
三民區,房地(土地+建物),Y,3.12,住宅區,15,N,12.8,26.15,Y,0,15.5,0
三民區,房地(土地+建物)+車位,Y,4.64,住宅區,29,N,20.4,63.11,Y,11.43,11.9,0
鼓山區,房地(土地+建物)+車位,Y,11.02,商業區,14,Y,15.4,93.44,Y,13.12,18.2,0
岡山區,房地(土地+建物),Y,4,住宅區,16,N,22.7,45.37,Y,0,10.1,0
左營區,房地(土地+建物)+車位,Y,5.63,住宅區,15,N,0.8,42.2,Y,8.26,25.5,0
鼓山區,房地(土地+建物)+車位,Y,5.35,商業區,29,N,0.8,93.37,Y,11.14,27.8,0
前鎮區,房地(土地+建物)+車位,Y,2.53,住宅區,27,N,22.2,52.29,Y,0,15.1,0
前金區,房地(土地+建物),Y,1.73,商業區,28,N,0.8,27.14,Y,0,24.7,0
楠梓區,房地(土地+建物)+車位,Y,4.34,商業區,22,N,1.5,51.23,Y,9.17,15.1,0
橋頭區,房地(土地+建物)+車位,Y,5.23,住宅區,15,N,0.3,41.48,Y,0,17.9,0
鳥松區,房地(土地+建物)+車位,Y,17.95,住宅區,22,N,2.8,101.85,Y,11.74,23.3,0
楠梓區,房地(土地+建物),Y,7.1,住宅區,12,N,26.2,44.72,Y,0,15.8,0
鳳山區,房地(土地+建物)+車位,Y,4.31,住宅區,14,N,18.8,39,Y,0,18.2,0
左營區,房地(土地+建物)+車位,Y,6.79,商業區,35,N,4.6,118.79,Y,0,16.2,0
楠梓區,房地(土地+建物)+車位,Y,4.86,住宅區,15,N,0.2,35.47,Y,0,17.8,0
鳥松區,房地(土地+建物)+車位,Y,16.27,住宅區,22,N,2.8,91.19,Y,5.87,22.6,0
鳳山區,房地(土地+建物),Y,1.72,住宅區,12,Y,23.8,9.28,Y,0,11.9,0
